['RX Timestamp', 'Tracked ID', 'BBox Coords (xmin, ymin, xmax, ymax)']
("'13:28:42.77269'", 166, -16, 339, 522, 702)
("'13:28:42.77269'", 197, 863, 414, 1266, 553)
("'13:28:42.77269'", 220, 967, 211, 1280, 394)
("'13:28:42.77269'", 235, 176, 18, 920, 396)
("'13:28:42.94323'", 124, 908, 382, 1268, 547)
("'13:28:42.94323'", 166, -25, 256, 588, 694)
("'13:28:42.94323'", 177, 687, 553, 1235, 720)
("'13:28:42.94323'", 208, 765, 559, 1242, 716)
("'13:28:42.94323'", 220, 986, 206, 1289, 383)
("'13:28:42.94323'", 235, 200, 14, 1044, 385)
("'13:28:42.94323'", 243, 90, 473, 798, 720)
("'13:28:43.11614'", 124, 949, 379, 1275, 533)
("'13:28:43.11614'", 140, 632, 267, 1182, 428)
("'13:28:43.11614'", 166, 31, 262, 634, 677)
("'13:28:43.11614'", 177, 629, 533, 1226, 711)
("'13:28:43.11614'", 235, 237, 20, 1087, 330)
("'13:28:43.11614'", 243, 199, 462, 896, 705)
("'13:28:43.29010'", 11, 368, 6, 1261, 342)
("'13:28:43.29010'", 166, 34, 244, 679, 684)
("'13:28:43.29010'", 212, 5, 281, 719, 662)
("'13:28:43.29010'", 235, 352, 29, 1188, 318)
("'13:28:43.29010'", 243, 332, 455, 977, 684)
("'13:28:43.46180'", 11, 419, 15, 1311, 364)
("'13:28:43.46180'", 104, 964, 478, 1274, 724)
("'13:28:43.46180'", 211, 517, 4, 1269, 365)
("'13:28:43.46180'", 212, 75, 288, 772, 641)
("'13:28:43.46180'", 243, 383, 457, 1049, 700)
("'13:28:43.46180'", 247, 42, 195, 500, 341)
("'13:28:43.63274'", 7, 402, 76, 983, 297)
("'13:28:43.63274'", 104, 1019, 462, 1301, 723)
("'13:28:43.63274'", 112, 34, 303, 859, 621)
("'13:28:43.63274'", 211, 645, -2, 1339, 364)
("'13:28:43.63274'", 220, 965, 274, 1243, 434)
("'13:28:43.63274'", 232, 601, 446, 1092, 714)
("'13:28:43.63274'", 235, 425, 62, 1088, 294)
("'13:28:43.63274'", 247, 117, 194, 597, 339)
("'13:28:43.63274'", 248, 92, 0, 970, 186)
("'13:28:43.80717'", 57, 697, 472, 1152, 702)
("'13:28:43.80717'", 112, 140, 318, 913, 609)
("'13:28:43.80717'", 124, 997, 271, 1282, 407)
("'13:28:43.80717'", 166, 13, 28, 317, 230)
("'13:28:43.80717'", 181, 960, 24, 1265, 119)
("'13:28:43.80717'", 211, 804, 28, 1332, 321)
("'13:28:43.80717'", 220, 1010, 272, 1266, 425)
